350	0.0205272	-0.110956	0.5	-0.0954891	8.23785e-12	1.88192e-10	-0.00401236	0.5	-0.110956	-0.00401236	0.5	-0.110956	0.0681808	0.742676	-0.0556328	1	1	0.5	8.68056e-07	8.68056e-07	0.999999	0.999999	
400	0.0205272	-0.127033	0.500003	-0.0921312	8.828e-11	1.87702e-09	0.00739479	0.500003	-0.127034	0.00739479	0.500001	-0.127034	0.0798277	0.737793	-0.074139	0.999998	1	0.500003	6.36574e-06	6.36574e-06	0.999991	0.999991	
450	0.0205272	-0.144664	0.500011	-0.0866665	2.55103e-10	5.90082e-09	0.0211494	0.500011	-0.144667	0.0211494	0.500006	-0.144667	0.0938704	0.73291	-0.0942313	0.999993	1	0.500011	2.43056e-05	2.43056e-05	0.999972	0.999972	
500	0.0205272	-0.163737	0.500034	-0.0791628	1.19572e-09	2.60601e-08	0.0331706	0.500036	-0.16375	0.0331706	0.500018	-0.16375	0.106138	0.727051	-0.115804	0.999972	1	0.500034	8.28993e-05	8.27546e-05	0.999888	0.999888	
550	0.0205272	-0.184086	0.500095	-0.0696879	3.24316e-09	6.65055e-08	0.0471482	0.500093	-0.184121	0.0471482	0.500047	-0.184121	0.12038	0.723145	-0.138691	0.999923	1	0.500095	0.000228733	0.000229311	0.999692	0.999692	
600	0.0205272	-0.205629	0.500198	-0.0583089	6.3569e-09	1.54877e-07	0.0597001	0.500205	-0.205709	0.0597001	0.500102	-0.205709	0.13311	0.718262	-0.162814	0.999828	1	0.500198	0.000493056	0.000490741	0.999314	0.999313	
650	0.0205272	-0.228236	0.500379	-0.0450903	1.54012e-08	3.15889e-07	0.0739423	0.500398	-0.228406	0.0739442	0.500298	-0.228406	0.147518	0.713379	-0.188061	0.999634	1	0.500379	0.0009864	0.000988426	0.998541	0.998536	
700	0.0205272	-0.251844	0.500719	-0.0300941	2.46607e-08	5.50383e-07	0.0869708	0.500702	-0.252158	0.0869754	0.500527	-0.252158	0.160621	0.709473	-0.214373	0.999317	1	0.500719	0.00185127	0.00186053	0.99728	0.997271	
750	0.0205272	-0.276344	0.501154	-0.0133798	4.56468e-08	9.71423e-07	0.101511	0.50115	-0.276891	0.101521	0.501012	-0.276891	0.175181	0.70459	-0.241669	0.998803	1	0.501154	0.00309028	0.00309896	0.995243	0.995224	
800	0.0205272	-0.301691	0.501803	0.00499605	7.62207e-08	1.49605e-06	0.115059	0.50177	-0.302563	0.115082	0.501682	-0.302565	0.188616	0.700684	-0.269902	0.998067	1	0.501803	0.00488006	0.00489829	0.992354	0.992296	
850	0.0205272	-0.327749	0.502788	0.0249783	1.11101e-07	2.57931e-06	0.129992	0.502591	-0.329123	0.130044	0.502569	-0.329127	0.20334	0.696777	-0.299012	0.996895	1	0.502788	0.00763108	0.00767535	0.987804	0.987655	
900	0.0205272	-0.35449	0.504076	0.0465134	1.78773e-07	3.41577e-06	0.144078	0.503637	-0.356539	0.144175	0.503633	-0.356548	0.217056	0.692871	-0.328962	0.995274	1	0.504076	0.0112801	0.0113681	0.981556	0.981313	
950	0.0205272	-0.381802	0.505588	0.0695501	2.79118e-07	4.68e-06	0.159456	0.504927	-0.384771	0.159633	0.505076	-0.384788	0.231928	0.688965	-0.359703	0.992968	1	0.505588	0.0159546	0.0160492	0.972881	0.97231	
1000	0.0205272	-0.4096	0.507839	0.0940369	4.07543e-07	6.96963e-06	0.174097	0.506478	-0.413796	0.174404	0.506842	-0.413825	0.245913	0.685059	-0.391206	0.989705	1	0.507839	0.0225339	0.0227276	0.960904	0.959808	
1050	0.0205272	-0.437705	0.510822	0.119921	6.17426e-07	1.00413e-05	0.189948	0.508305	-0.443581	0.190447	0.508902	-0.443632	0.260953	0.682129	-0.423433	0.984824	1	0.510822	0.0314236	0.031829	0.943672	0.94172	
